"article_cond","SID","item","n","comment"
"control","s173","7",NA,NA
"control","s173","8",NA,NA
"control","s174","10",NA,NA
"control","s174","11",NA,NA
"control","s174","12",NA,NA
"control","s174","9",NA,NA
"control","s175","5",12,"Australia is pushing forward with coal mining thanks to a conservative coalition."
"control","s175","6",19,"How much does cow gas actually hurt the climate, and why did Trump miss his deadline for the report?"
"control","s175","7",15,"Which meat is better for your cholesterol levels, white or red, it's actually a tie."
"control","s175","8",16,"Skipping breakfast before working out could be a good move if you're trying to lose weight."
"control","s176","10",NA,NA
"control","s176","11",NA,NA
"control","s176","12",NA,NA
"control","s176","9",NA,NA
"control","s177","1",NA,NA
"control","s177","2",NA,NA
"control","s177","3",NA,NA
"control","s177","4",NA,NA
"control","s178","1",20,"The keys for weight loss may be less related to exercise than previously thought, according to a study on rats."
"control","s178","2",21,"Getting in shape is likely better for us and prolonging life. In comparison to other healthy habits, this one ranks high."
"control","s178","3",19,"A new bill passed tha ensures more environmental protection of more than a million acres by a federal program."
"control","s178","4",12,"New studies about obesity show that it may be understood differently now."
"control","s179","5",NA,NA
"control","s179","6",NA,NA
"control","s179","7",NA,NA
"control","s179","8",NA,NA
"control","s180","10",NA,NA
"control","s180","11",NA,NA
"control","s180","12",NA,NA
"control","s180","9",NA,NA
"control","s181","10",NA,NA
"control","s181","11",NA,NA
"control","s181","12",NA,NA
"control","s181","9",NA,NA
"control","s182","1",NA,NA
"control","s182","2",NA,NA
"control","s182","3",NA,NA
"control","s182","4",NA,NA
"control","s183","1",NA,NA
"control","s183","2",NA,NA
"control","s183","3",NA,NA
"control","s183","4",NA,NA
"control","s184","5",NA,NA
"control","s184","6",NA,NA
"control","s184","7",NA,NA
"control","s184","8",NA,NA
"control","s185","10",NA,NA
"control","s185","11",NA,NA
"control","s185","12",NA,NA
"control","s185","9",NA,NA
"control","s186","5",NA,NA
"control","s186","6",NA,NA
"control","s186","7",NA,NA
"control","s186","8",NA,NA
"control","s187","10",12,"single use cleaning products are convenient but more expensive and less effective"
"control","s187","11",15,"Where you are and who you are with can impact the speed you walk at"
"control","s187","12",18,"People that don't believe climate change is real think polar bears have not been impacted, but scientists disagree"
"control","s187","9",9,"Deodorant and other similar products are polluting our air"
"control","s188","5",12,"Some foods have more nutrients when you cook them and some don't."
"control","s188","6",7,"What big automakers think of climate change."
"control","s188","7",14,"The world switching to cleaner energy does not get rid of fossil fuel use"
"control","s188","8",7,"Climate change is a big political issue."
"control","s189","1",NA,NA
"control","s189","2",NA,NA
"control","s189","3",NA,NA
"control","s189","4",NA,NA
"control","s190","5",NA,NA
"control","s190","6",NA,NA
"control","s190","7",NA,NA
"control","s190","8",NA,NA
"control","s191","5",NA,NA
"control","s191","6",NA,NA
"control","s191","7",NA,NA
"control","s191","8",NA,NA
"control","s192","5",NA,NA
"control","s192","6",NA,NA
"control","s192","7",NA,NA
"control","s192","8",NA,NA
"control","s193","10",NA,NA
"control","s193","11",NA,NA
"control","s193","12",NA,NA
"control","s193","9",NA,NA
"control","s194","10",NA,NA
"control","s194","11",NA,NA
"control","s194","12",NA,NA
"control","s194","9",NA,NA
"control","s195","1",NA,NA
"control","s195","2",NA,NA
"control","s195","3",NA,NA
"control","s195","4",NA,NA
"control","s196","1",NA,NA
"control","s196","2",NA,NA
"control","s196","3",NA,NA
"control","s196","4",NA,NA
"control","s197","5",19,"Young people are protesting the failure to act against climate change, calling for action to fight against climate change."
"control","s197","6",16,"CBD is popular, but scientists don't know if it is effective due to lack of evidence."
"control","s197","7",10,"Heart monitors can make high intensity training fun and easy."
"control","s197","8",12,"According to a study on mice, exercise might not cause weight loss."
"control","s198","10",NA,NA
"control","s198","11",NA,NA
"control","s198","12",NA,NA
"control","s198","9",NA,NA
"control","s199","1",NA,NA
"control","s199","2",NA,NA
"control","s199","3",NA,NA
"control","s199","4",NA,NA
"control","s200","1",NA,NA
"control","s200","2",NA,NA
"control","s200","3",NA,NA
"control","s200","4",NA,NA
"control","s201","10",NA,NA
"control","s201","11",NA,NA
"control","s201","12",NA,NA
"control","s201","9",NA,NA
"control","s202","10",NA,NA
"control","s202","11",NA,NA
"control","s202","12",NA,NA
"control","s202","9",NA,NA
"control","s203","1",NA,NA
"control","s203","2",NA,NA
"control","s203","3",NA,NA
"control","s203","4",NA,NA
"control","s204","1",11,"That maintaining physical fitness may be as beneficial as not smoking."
"control","s204","2",13,"That young people are banding together to globally strike to protest climate change."
"control","s204","3",16,"An article detailing possible reasons why some don't lose weight, but actually gain when they exercise."
"control","s204","4",10,"Pictures of youths striking around the world about climate change."
"control","s205","1",NA,NA
"control","s205","2",NA,NA
"control","s205","3",NA,NA
"control","s205","4",NA,NA
"control","s206","1",17,"In 2017, more solar power was added to the world but it is still a small amount"
"control","s206","2",5,"Automakers speak about climate change"
"control","s206","3",9,"Nutrients in vegetables can increase or decrease with cooking"
"control","s206","4",10,"European forecasters see heat wave making the hottest June yet"
"control","s207","1",9,"A new school program to help children feel better."
"control","s207","2",18,"There is a lot amount of plastic on this earth and some have been here for 70 years."
"control","s207","3",10,"Odors are contributing to air pollution as much as cars."
"control","s207","4",9,"Climate change is going to start affecting companies greatly."
"control","s208","10",NA,NA
"control","s208","11",NA,NA
"control","s208","12",NA,NA
"control","s208","9",NA,NA
"control","s209","5",NA,NA
"control","s209","6",NA,NA
"control","s209","7",NA,NA
"control","s209","8",NA,NA
"control","s210","5",NA,NA
"control","s210","6",NA,NA
"control","s210","7",NA,NA
"control","s210","8",NA,NA
"control","s211","10",10,"Dancing being good to prevent the aging of the brain."
"control","s211","11",10,"About the actions the ancient egyptians took against climate change."
"control","s211","12",14,"About avalanches being triggered by climate change, and the areas that are at risk."
"control","s211","9",11,"This is article is about cancer research, and individualization in treatment."
"control","s212","1",NA,NA
"control","s212","2",NA,NA
"control","s212","3",NA,NA
"control","s212","4",NA,NA
"control","s213","10",NA,NA
"control","s213","11",NA,NA
"control","s213","12",NA,NA
"control","s213","9",NA,NA
"control","s214","1",NA,NA
"control","s214","2",NA,NA
"control","s214","3",NA,NA
"control","s214","4",NA,NA
"control","s215","10",NA,NA
"control","s215","11",NA,NA
"control","s215","12",NA,NA
"control","s215","9",NA,NA
"control","s216","1",NA,NA
"control","s216","2",NA,NA
"control","s216","3",NA,NA
"control","s216","4",NA,NA
"control","s217","10",NA,NA
"control","s217","11",NA,NA
"control","s217","12",NA,NA
"control","s217","9",NA,NA
"control","s218","1",11,"Plastic and paper bags both have a downside for the environment."
"control","s218","2",12,"Obesity has no scientific study that supports heart disease or shorter life."
"control","s218","3",14,"A heart monitor can help make high-intensity interval training easier and more fun."
"control","s218","4",11,"Toxic algae blooms are lasting longer and killing wildlife in Florida."
"control","s219","10",NA,NA
"control","s219","11",NA,NA
"control","s219","12",NA,NA
"control","s219","9",NA,NA
"control","s220","1",NA,NA
"control","s220","2",NA,NA
"control","s220","3",NA,NA
"control","s220","4",NA,NA
"control","s221","5",NA,NA
"control","s221","6",NA,NA
"control","s221","7",NA,NA
"control","s221","8",NA,NA
"control","s222","1",NA,NA
"control","s222","2",NA,NA
"control","s222","3",NA,NA
"control","s222","4",NA,NA
"control","s223","1",NA,NA
"control","s223","2",NA,NA
"control","s223","3",NA,NA
"control","s223","4",NA,NA
"control","s224","10",10,"Campaign ads on global warming are arising across the US"
"control","s224","11",16,"Babies who eat solid food at 3 months old sleep for longer than those who breastfeed"
"control","s224","12",11,"Ancient Mediterranean places might be at risk because of global warming"
"control","s224","9",8,"Topics on the election ballot regarding climate change"
"control","s225","10",NA,NA
"control","s225","11",NA,NA
"control","s225","12",NA,NA
"control","s225","9",NA,NA
"control","s226","1",NA,NA
"control","s226","2",NA,NA
"control","s226","3",NA,NA
"control","s226","4",NA,NA
"control","s227","1",NA,NA
"control","s227","2",NA,NA
"control","s227","3",NA,NA
"control","s227","4",NA,NA
"control","s228","10",NA,NA
"control","s228","11",NA,NA
"control","s228","12",NA,NA
"control","s228","9",NA,NA
"control","s229","10",NA,NA
"control","s229","11",NA,NA
"control","s229","12",NA,NA
"control","s229","9",NA,NA
"control","s230","1",17,"Bananas are good for fuel and recovery with exercise. They beat out sports drinks in their value."
"control","s230","2",20,"This article explores whether cycling and swimming really help bone maintenance. Perhaps there is too little pressure on the bones?"
"control","s230","3",21,"This article discusses what to recycle and what not to. It tries to end the confusion about what can be recycled."
"control","s230","4",24,"Looks like you can build strength in 13 minutes if you do it right. And right is to work each exercise hard and briefly."
"control","s231","5",NA,NA
"control","s231","6",NA,NA
"control","s231","7",NA,NA
"control","s231","8",NA,NA
"control","s232","5",NA,NA
"control","s232","6",NA,NA
"control","s232","7",NA,NA
